uniq_id,product_name,pid,retail_price,discounted_price,is_FK_Advantage_product,product_rating,overall_rating,brand
91a5be568857ac47fb573615fb22e27b,Agricart Mesembrythamem Heavens Mixed Seed,PAEEAMGFHMZW72XN,80,80,FALSE,No rating available,No rating available,Agricart
c3319a4fcfbdd0745645ead320e3b417,First Smart Deal Plant Container Set,PCSEC86VQBYAG5YA,580,399,FALSE,No rating available,No rating available,First Smart Deal
cee09814c75c613e2d1698de15a37138,Born Mark Casual Self Design Women's Kurti,KRTE82ASGB4VKFUS,1149,460,FALSE,No rating available,No rating available,
0fff254ef1e1c7fde70377f523a63d72,Blessed Gamla Basket Plant Container Set,PCSDY5AHHQSXZARH,850,560,FALSE,1,1,Blessed
e1b11eee8636c48f0d547ba3897d1cda,Cenizas Casual Printed Women's Kurti,KRTE39Q4GVHFHWZV,999,625,FALSE,5,5,
469bd5bef19c764ae58857e46999832c,Scomp EliteBook 8540P 6 Cell Laptop Battery,ACCDWGG3HSCGUN9V,2499,1599,FALSE,No rating available,No rating available,Scomp
334fb5f10ad362470ae3544866c4cd96,Easy Gardening Home Plant Container Set,PCSE6X3YHYFEYXHJ,2000,1599,FALSE,No rating available,No rating available,Easy Gardening
ee6f3de8c445f25c55caec1ea6b7820e,Natures Plus Home Garden Plant Container Set,PCSE4FKCGZNGNHFN,450,444,FALSE,No rating available,No rating available,Natures Plus
3c70574283fc3b733d6cd4dd43bad18e,Rk Plant Container Set,PCSE76X4HR9QNNJH,2199,1099,FALSE,No rating available,No rating available,Rk
6fad53e8458f77a326c2a401d4feec52,Green Girgit Plant Container Set,PCSEAKVBHWNWCHGU,500,300,FALSE,No rating available,No rating available,Green Girgit
d2dfeed0f971d6ce852776c5db657ee0,Divine Tree SD13 Seed,PAEE8EZHZFKKYMVK,100,100,FALSE,No rating available,No rating available,Divine Tree
514ccb148fd1681fd6bc2b02950e1169,VGreen Plant Container Set,PCSE9SCFYQRSMAPY,500,399,FALSE,No rating available,No rating available,VGreen
39feaac93b9d4eacc42f8863dbbd3713,Easy Gardening 7 Inch Elegance Plant Container Set,PCSEAH5WFZFUTZJH,999,699,FALSE,No rating available,No rating available,Easy Gardening
cc68d2480ee3d412e0c6d9be1c7dce5f,Easy Gardening Home Plant Container Set,PCSE6X3Y8GF4HWK7,2200,1699,FALSE,No rating available,No rating available,Easy Gardening
